University Name,State,Country,Course Name,Average Fees (Per Year),Currency
University of Potsdam,Brandenburg,Germany,MSc in Data Science,645.0,EUR
Constructor University,Bremen,Germany,MSc in Data Science for Society and Business,20000.0,EUR
Constructor University,Bremen,Germany,MS in Data Engineering,20000.0,EUR
American University,Washington,United States,MS in Data Science,40000.0,USD
American University,Washington,United States,MS in Analytic,61578.0,USD
University of Nottingham,Nottingham,United Kingdom,MSc in Data Science,28600.0,GBP
The University of Vermont,Vermont,United States,MS in Complex System and Data Science,26700.0,USD
University of Hildesheim,Sohag,Germany,Masters in Data Analytics,,EUR
Charles Darwin University,Northern Territory,Australia,Masters in Data Science,31696.0,AUD
Linköping University,Östergötland,Sweden,MS in Statistics and Machine Learning,116000.0,SEK
University of Passau,Bavaria,Germany,MSc in Data Science,,EUR
Heriot-Watt University,Edinburgh,United Kingdom,MSc in Data Science,24496.0,GBP
Heriot-Watt University,Edinburgh,United Kingdom,MSc in Data Science (2 years),24496.0,GBP
Brunel University,London,United Kingdom,MSc in Genetic Data Analytics,19855.0,GBP
Brunel University,London,United Kingdom,MSc in Data Science and Analytics,25000.0,GBP
City University of Seattle,Washington,United States,MS in Data Science,14528.0,USD
University of Zurich,Z'rich,Switzerland,MSc in Data Science,1640.0,CHF
Leipzig University,Sohag,Germany,MSc in Data Science,532.0,EUR
Victoria University of Wellington,Wellington,New Zealand,Masters in Data Science,42050.0,NZ
"University of New England, Australia",New South Wales,Australia,Masters in Data Science,33829.0,AUD
"University of New England, Australia",New South Wales,Australia,Graduate certificate in Data Science,7900.0,AUD
Vrije Universiteit Amsterdam,North Holland,Netherlands,Masters in Business Data Science,17000.0,EUR
