University Name,State,Country,Course Name,Average Fees (Per Year),Currency
University of Wisconsin-Madison,Wisconsin,United States,MPH in Public Health,25578.0,USD
"University of California, Davis",California,United States,MPH in Public Health,27366.0,USD
Michigan State University,Michigan,United States,Masters in Public Health,,USD
McGill University,Montreal,Canada,MSc in Public Health,28362.0,CAD
San Diego State University,California,United States,Masters in Public Health and Social Work,,USD
San Diego State University,California,United States,Masters in Public Health,,USD
Ohio State University,Ohio,United States,MPH in Public Health,43428.0,USD
Georgia State University,Georgia,United States,Masters in Public Health,27006.0,USD
"California State University, Fullerton",California,United States,Masters in Public Health,23112.0,USD
"California State University, Long Beach",California,United States,Masters in Public Health,20223.0,USD
George Mason University,Virginia,United States,Masters in Public Health,32403.0,USD
George Mason University,Virginia,United States,MS in Global Health,32130.0,USD
University of Alberta,Alberta,Canada,MPH in General Public Health,15120.0,CAD
Clemson University,South Carolina,United States,Masters in Public Health,,USD
University of Arizona,Arizona,United States,Masters in Public Health,37674.0,USD
Boston University,Massachusetts,United States,Masters in Public Health,71964.0,USD
Iowa State University,Iowa,United States,Masters in Public Health,,USD
Harvard University,Massachusetts,United States,MPH in Public Health,69300.0,USD
"California State University, Los Angeles",California,United States,MPH in Public Health,11025.0,USD
Johns Hopkins University,Maryland,United States,Masters in Public Health,82440.0,USD
University of Ottawa,Ottawa,Canada,Masters in Public Health,31579.0,CAD
University of North Carolina at Chapel Hill,North Carolina,United States,Masters in Public Health,41937.0,USD
University of North Carolina at Chapel Hill,North Carolina,United States,MS in Public Health Leadership,36824.0,USD
Simon Fraser University,British Columbia,Canada,Masters in Public Health,7659.0,CAD
Cleveland State University,Ohio,United States,MPH in Public Health,23128.0,USD
"University of Michigan, Dearborn",Michigan,United States,Masters in Public Health,53084.0,USD
Queen's University,Kingston,Canada,MPH in Public Health,29346.0,CAD
"California State University, Sacramento",California,United States,MS in Public Health,13650.0,USD
University of Pittsburgh,Pennsylvania,United States,Masters in Community Based Public Health and Health Equity,,USD
University of Pittsburgh,Pennsylvania,United States,MS in  Health Services Research and Policy,49662.0,USD
University of Pittsburgh,Pennsylvania,United States,MPH in Behavioral and Community Health Sciences,49662.0,USD
University of Pittsburgh,Pennsylvania,United States,MPH in Epidemiology,51400.0,USD
